"Table 9.13(b): Physical Energy Use Table, 2023",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,, TJ ,
 INDUSTRIES , SIEC ,  Agriculture ,  Mining & Quarrying ,  Manufacturing ," Electricity, Gas, Steam and Air Conditioning Supply ", Construction , Transport and Storage , Accommodation and Food Service Activities ,  Other Commercial Sectors , Public Administration and Defense , Undefined , Households , Accumulation/Stock , Rest of the World , Flows to the environment , Total ,
 NATURAL INPUTS: ,,  -    ,  -    ," 8,051.0 "," 40,314.9 ",  -    ,  -    ,  -    ,  -    ,  -    ,  -    ," 1,295,821.7 ",  -    ,  -    ,  -    ," 1,344,187.5 ",
 Solar ,7000,,,," 1,769.27 ",,,,,,,,,,," 1,769.3 ",
 Wind ,7000,,,," 7,229.30 ",,,,,,,,,,," 7,229.3 ",
 Hydro ,7000,,,," 9,600.05 ",,,,,,,,,,," 9,600.1 ",
 Geo-Thermal ,7000,,,," 21,715.49 ",,,,,,,,,,," 21,715.5 ",
 Co-Generation ,7000,,,, 0.74 ,,,,,,,,,,, 0.7 ,
 Biomass Wood ,,,," 8,051.0 ",,,,,,,," 1,295,821.7 ",,,," 1,303,872.7 ",
 ENERGY PRODUCTS CONSUMPTION: ,,,,,,,,,,,,,,,,,
 Petroleum: ,," 1,969.9 ", 334.0 ," 5,122.8 "," 1,164.7 ", 642.2 ," 7,895.2 ", 42.7 ," 5,599.3 "," 1,152.7 "," 2,289.6 "," 1,394.6 "," (4,886.6)"," 1,298.0 ",  -    ," 24,019.1 ",
 Motor Spirit Premium ,4651," 1,429.15 ", 14.10 , 156.23 ,  -    , 51.85 ," 1,936.72 ", 7.59 ," 1,882.93 ", 574.05 ,,  -    ," (1,471.76)", 0.97 ,," 4,581.8 ",
 Aviation gasoline ,4652,  -    ,  -    ,  -    ,  -    ,  -    , 5.44 ,  -    ,  -    ,  -    ,,  -    , 1.94 , 0.26 ,, 7.6 ,
 Jet fuel ,4653, -   ,  -    ,  -    ,  -    ,  -    ," 2,790.10 ",  -    , 0.35 , 8.77 ,,  -    ," (1,299.48)"," 1,019.62 ",," 2,519.4 ",
 Illuminating Kerosene ,4669, 0.10 ,  -    , 17.11 ,  -    , 5.50 , 6.51 ,  -    , 24.22 , 3.14 ,, 173.43 , (224.11), 0.11 ,, 6.0 ,
 White spirit and special boiling point industrial spirits ,4691,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,,  -    , 12.33 , 0.19 ,, 12.5 ,
 Light Diesel Oil ,4671, 505.43 , 236.17 , 873.54 , 167.45 , 567.98 ," 3,074.89 ", 15.59 ," 3,196.92 ", 512.21 ,,  -    ," (1,371.59)", 66.42 ,," 7,845.0 ",
 Heavy Diesel Oil ,4672,  -    ,  -    ,  -    , 0.37 ,  -    ,  -    ,  -    ,  -    , 5.14 ,,  -    , (5.91), 0.45 ,, 0.1 ,
 Fuel oils n.e.c. ,4680, 10.96 , 77.91 , 213.26 , 970.51 , 5.68 , 3.87 , 0.67 , 260.59 , 33.72 ,,  -    , (385.37), 85.02 ,," 1,276.8 ",
 Lubricating Oils ,4692, 23.36 , 5.79 , 49.78 , 26.33 , 10.97 , 35.14 , 6.00 , 41.95 , 12.26 ,,  -    , (311.06), 122.99 ,, 23.5 ,
 Lubricating Greases ,4692,  -    ,  -    ,  -    ,  -    ,  -    , 0.23 ,  -    ,  -    ,  -    ,,  -    , 9.03 , 0.39 ,, 9.7 ,
 Other petroleum oils n.e.c. ,4699,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,,  -    , (0.67), 0.81 ,, 0.1 ,
 Liquified Petroleum Gas (L.P.G) ,4630, 0.94 ,  -    , 54.93 ,  -    , 0.20 , 42.35 , 12.85 , 192.30 , 3.42 ,," 1,221.13 ", 160.08 , 0.76 ,," 1,689.0 ",
 Coal and Coke ,,,," 3,757.98 ",,,,,,," 2,289.60 ",,,,," 6,047.6 ",
 Electricity ,7000,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ," 25,641 "," 11,513 ",  -    ,  -    ,  -    ," 37,154.2 ",
 Domestic and Small Commercial ,,,,,,,,,,," 5,403.27 "," 9,905.20 ",,,," 15,308.5 ",
 Large and Medium ,,,,,,,,,,," 19,079.13 ",,,,," 19,079.1 ",
 Street Lighting ,,,,,,,,,,, 392.91 ,,,,, 392.9 ,
 Rural electrification ,,,,,,,,,,, 766.09 ," 1,607.60 ",,,," 2,373.7 ",
 Other ,,,,,,,,,,,,,,,,,
 Biomass: ,,  -    ,  -    ," 8,051.0 ",  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ," 1,254,181.4 ",  -    ,  -    ,  -    ," 1,262,232.4 ",
 Firewood ,,,," 7,241.80 ",,,,,,,," 1,154,567.77 ",,,," 1,161,809.6 ",
 Charcoal ,,,, 809.17 ,,,,,,,," 99,613.62 ",,,," 100,422.8 ",
 Wood/Process Waste ,5119,,,,,,,,,,,,,,,  -    ,
 Farm residue/Animal crop residue ,5130,,,,,,,,,,,,,,,  -    ,
 RESIDUALS: ,,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ," 52,689.3 "," 52,840.9 ",
 Extraction ,,,,,,,,,,,,,,," 41,640.29 "," 41,640.3 ",
 Transformation ,,,,,,,,,,,,,,,,  -    ,
 Losses ,,,,,,,,,,,,,,," 11,048.96 "," 11,049.0 ",
 Other ,,,,,,,,,,,,,,, 151.7 , 151.7 ,
 TOTAL USE ,," 1,969.9 ", 334.0 ," 21,224.8 "," 41,479.5 ", 642.2 ," 7,895.2 ", 42.7 ," 5,599.3 "," 1,152.7 "," 2,289.6 "," 2,551,397.6 "," (4,886.6)"," 1,298.0 "," 52,689.3 "," 2,720,434.1 ", (0.04)
 1 Terajoule (TJ)=10^12 Joules ,,,,,,,,,,,,,,,,,
 1000 Tonnes=4.184 TJ ,,,,,,,,,,,,,,,,,
 1 GWh=3.6 TJ ,,,,,,,,,,,,,,,,,
