"indicator","consumer-category","Unit","Date","Value"
"Average electricity yield by Customer Category","Domestic","Ksh/Unit","2018","16.3"
"Average electricity yield by Customer Category","Domestic","Ksh/Unit","2019","16.36"
"Average electricity yield by Customer Category","Domestic","Ksh/Unit","2020","17.51"
"Average electricity yield by Customer Category","Domestic","Ksh/Unit","2021","16.43"
"Average electricity yield by Customer Category","Domestic","Ksh/Unit","2022","16.9"
"Average electricity yield by Customer Category","Small Commercial","Ksh/Unit","2018","22.08"
"Average electricity yield by Customer Category","Small Commercial","Ksh/Unit","2019","23.45"
"Average electricity yield by Customer Category","Small Commercial","Ksh/Unit","2020","20.25"
"Average electricity yield by Customer Category","Small Commercial","Ksh/Unit","2021","19.58"
"Average electricity yield by Customer Category","Small Commercial","Ksh/Unit","2022","20.22"
"Average electricity yield by Customer Category","Commercial Industrial","Ksh/Unit","2018","14.09"
"Average electricity yield by Customer Category","Commercial Industrial","Ksh/Unit","2019","14.31"
"Average electricity yield by Customer Category","Commercial Industrial","Ksh/Unit","2020","14.58"
"Average electricity yield by Customer Category","Commercial Industrial","Ksh/Unit","2021","16.37"
"Average electricity yield by Customer Category","Commercial Industrial","Ksh/Unit","2022","16.55"
"Average electricity yield by Customer Category","Off Peak (Interruptible)","Ksh/Unit","2018","11.95"
"Average electricity yield by Customer Category","Off Peak (Interruptible)","Ksh/Unit","2019","0"
"Average electricity yield by Customer Category","Off Peak (Interruptible)","Ksh/Unit","2020","0"
"Average electricity yield by Customer Category","Off Peak (Interruptible)","Ksh/Unit","2021","0"
"Average electricity yield by Customer Category","Off Peak (Interruptible)","Ksh/Unit","2022","0"
"Average electricity yield by Customer Category","Street Lighting","Ksh/Unit","2018","7.08"
"Average electricity yield by Customer Category","Street Lighting","Ksh/Unit","2019","9.66"
"Average electricity yield by Customer Category","Street Lighting","Ksh/Unit","2020","10.1"
"Average electricity yield by Customer Category","Street Lighting","Ksh/Unit","2021","9.83"
"Average electricity yield by Customer Category","Street Lighting","Ksh/Unit","2022","9.73"
"Average electricity yield by Customer Category","Exports","Ksh/Unit","2018","17.48"
"Average electricity yield by Customer Category","Exports","Ksh/Unit","2019","20.38"
"Average electricity yield by Customer Category","Exports","Ksh/Unit","2020","11.63"
"Average electricity yield by Customer Category","Exports","Ksh/Unit","2021","14.34"
"Average electricity yield by Customer Category","Exports","Ksh/Unit","2022","16.76"
